StationName,CircuitID,DirectionNum
Mt Vernon Sq 7th St-Convention Center,1911,2
Mt Vernon Sq 7th St-Convention Center,1911,2
Shaw-Howard U,1923,2
Shaw-Howard U,1923,2
U Street/African-Amer Civil War Memorial/Cardozo,1923,2
Columbia Heights,1942,2
Georgia Ave-Petworth,1956,2
Fort Totten,1971,2
West Hyattsville,1992,2
Hyattsville Crossing,2009,2
College Park-U of Md,2030,2
Greenbelt,2055,2
Gallery Pl-Chinatown,1899,2
Gallery Pl-Chinatown,1899,2
Archives-Navy Memorial-Penn Quarter,2376,2
Archives-Navy Memorial-Penn Quarter,2376,2
L'Enfant Plaza,2364,2
L'Enfant Plaza,2364,2
Waterfront,2352,2
Navy Yard-Ballpark,2342,2
Anacostia,2333,2
Congress Heights,2317,2
Southern Avenue,2303,2
Naylor Road,2291,2
Suitland,2272,2
Branch Ave,2255,2
Benning Road,2506,2
Benning Road,2506,2
Capitol Heights,2521,2
Capitol Heights,2521,2
Addison Road-Seat Pleasant,2537,2
Addison Road-Seat Pleasant,2537,2
Morgan Boulevard,2557,2
Morgan Boulevard,2557,2
Downtown Largo,2574,2
Downtown Largo,2574,2
Van Dorn Street,2709,2
Franconia-Springfield,2679,2
Court House,3061,2
Court House,3061,2
Clarendon,3048,2
Clarendon,3048,2
Virginia Square-GMU,3037,2
Virginia Square-GMU,3037,2
Ballston-MU,3023,2
Ballston-MU,3023,2
East Falls Church,3001,2
East Falls Church,3001,2
West Falls Church,2976,2
Dunn Loring-Merrifield,2954,2
Vienna/Fairfax-GMU,2933,2
McLean,3377,2
Tysons,3370,2
Greensboro,3359,2
Spring Hill,3352,2
Wiehle-Reston East,3290,2
Reston Town Center,3741,2
Herndon,3724,2
Innovation Center,3706,2
Washington Dulles International Airport,3689,2
Loudoun Gateway,3657,2
Ashburn,3637,2
